K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
6.0,6.0,0.03162277660168379,1.0,0.05,0.7032473147905077,9.736380838,0.7032473147905077
6.0,7.0,0.056234132519034905,0.0,0.01,1.5970448602496663,11.984432751,1.5970448602496663
6.0,7.0,0.056234132519034905,1.0,0.05,0.9115849498966393,11.215272895,0.9115849498966393
6.0,8.0,0.1,0.0,0.01,1.5982717019389645,13.064224817,1.5982717019389645
6.0,8.0,0.1,1.0,0.05,1.1477645113043435,10.491738805,1.1477645113043435
7.0,0.0,0.001,0.0,0.01,0.32098107698752026,20.734322025,0.32098107698752026
7.0,0.0,0.001,1.0,0.05,0.20726286098602173,14.01001071,0.20726286098602173
7.0,1.0,0.0017782794100389228,0.0,0.01,0.3816688107538235,19.877460144,0.3816688107538235
7.0,1.0,0.0017782794100389228,1.0,0.05,0.22198320236371005,14.338231724,0.22198320236371005
7.0,2.0,0.0031622776601683794,0.0,0.01,0.47561453437324086,18.063215066,0.47561453437324086
7.0,2.0,0.0031622776601683794,1.0,0.05,0.24657587695818367,12.930571587,0.24657587695818367
7.0,3.0,0.005623413251903491,0.0,0.01,0.6104697892836033,15.516949375,0.6104697892836033
7.0,3.0,0.005623413251903491,1.0,0.05,0.2868416599861153,13.668722846,0.2868416599861153
7.0,4.0,0.01,0.0,0.01,0.7956074119477047,20.180908521,0.7956074119477047
7.0,4.0,0.01,1.0,0.05,0.3511670238838412,16.014150019,0.3511670238838412
7.0,5.0,0.01778279410038923,0.0,0.01,1.0178476003605317,18.66569068,1.0178476003605317
7.0,5.0,0.01778279410038923,1.0,0.05,0.4482203029150846,14.513468279,0.4482203029150846
7.0,6.0,0.03162277660168379,0.0,0.01,1.193665682291732,30.178143278,1.193665682291732
7.0,6.0,0.03162277660168379,1.0,0.05,0.5853669494904603,16.211670709,0.5853669494904603
7.0,7.0,0.056234132519034905,0.0,0.01,1.2592019338460432,17.99644153,1.2592019338460432
7.0,7.0,0.056234132519034905,1.0,0.05,0.762874010979677,15.772909428,0.762874010979677
7.0,8.0,0.1,0.0,0.01,1.2591158998902603,22.577386489,1.2591158998902603
7.0,8.0,0.1,1.0,0.05,0.945091485882761,17.467849409,0.945091485882761
8.0,0.0,0.001,0.0,0.01,0.22096031272545444,21.385179622,0.22096031272545444
8.0,0.0,0.001,1.0,0.05,0.12741736105351123,19.707964555,0.12741736105351123
8.0,1.0,0.0017782794100389228,0.0,0.01,0.27924071065014233,23.004236663,0.27924071065014233
8.0,1.0,0.0017782794100389228,1.0,0.05,0.14174618544202489,18.12213437,0.14174618544202489
8.0,2.0,0.0031622776601683794,0.0,0.01,0.3702810221675257,20.468314965,0.3702810221675257
8.0,2.0,0.0031622776601683794,1.0,0.05,0.16552915419654532,19.94476439,0.16552915419654532
8.0,3.0,0.005623413251903491,0.0,0.01,0.5008354797852164,22.751265754,0.5008354797852164
8.0,3.0,0.005623413251903491,1.0,0.05,0.20444570054241068,17.484656375,0.20444570054241068
8.0,4.0,0.01,0.0,0.01,0.6626069497035463,22.262164379,0.6626069497035463
