iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
66,3.5038602985402045,0.010021967974358947,0.014820625016000122,28.06807369334245,9.97534852915723e-06,1.2490377078092842,1.249037697929779,1.2490377332827844,1.2490382626598975,1.24903944401526,1.25096092351004,1.249037497581766,1.2490381999913358,1.2509604716289635,1.2490373733884974,1.2509630290307399,1.2490352969068128
67,3.503896679279462,0.010022124213057721,0.014438041020184755,28.070955243188028,9.971955636222685e-06,1.249015410543352,1.2490153994358069,1.2490154368487005,1.2490159953416275,1.2490172443727163,1.2509831414872838,1.2490151873191127,1.249015929537432,1.2509826643457906,1.249015056681718,1.2509853681671013,1.2490128640099705
68,3.503933048715183,0.010022280403616224,0.014690999989397824,28.073874914116253,9.968344786479417e-06,1.2489931213576806,1.248993108928266,1.248993148473724,1.2489937369208106,1.2489950558150953,1.2510053488864359,1.2489928846392682,1.2489936679148146,1.2510048457399452,1.2489927474062739,1.2510077007256084,1.2489904350210685
69,3.5039694060553463,0.010022436542647327,0.014532874978613108,28.076775031782468,9.964516155915152e-06,1.2489708407425688,1.2489708268956332,1.2489708686440726,1.248971487877204,1.2489728788361225,1.2510275452233082,1.2489705900419912,1.2489714156125247,1.2510270153040468,1.248970446047317,1.251030026199621,1.2489680104251633
70,3.504005750505615,0.010022592626714262,0.014829791965894401,28.07970779747142,9.960469931131939e-06,1.2489485691849693,1.248948553821229,1.2489485978441082,1.2489492486957046,1.248950713925575,1.251049730000688,1.2489483040070624,1.2489491731125288,1.2510491725707074,1.2489481530873856,1.2510523441453656,1.2489455907024363
71,3.5040420812724533,0.010022748652373754,0.014662457979284227,28.08266052602967,9.956206309337067e-06,1.2489263071771568,1.2489262901922928,1.248926336560592,1.2489270198692846,1.2489285615800927,1.251071902734825,1.2489260269992182,1.2489269409008907,1.2510713170616732,1.2489258690188116,1.2510746540940827,1.2489231763339141
72,3.5040783975552405,0.010022904616252715,0.014643582981079817,28.08557153427776,9.951725498333449e-06,1.2489040552053687,1.248904036494847,1.24890408527922,1.248904801872122,1.2489064222869815,1.2510940629400253,1.2489037595164099,1.2489047194648328,1.2510934482767837,1.248903594323709,1.251096955531066,1.2489007678205972
73,3.504114698565008,0.010023060514921186,0.014638792024925351,28.088539683026994,9.947027716509489e-06,1.2488818137580262,1.2488817932123328,1.2488818444837566,1.2488825951910625,1.2488842965354112,1.251116210122811,1.2488815020354391,1.248882509285409,1.2511155657429769,1.2488813294870753,1.2511192480077964,1.2488783656413365
74,3.504150983508368,0.010023216344942435,0.014382416033186018,28.091489417830456,9.942113192828446e-06,1.2488595833222886,1.24885956083084,1.248859614662101,1.248860400299596,1.248862184810505,1.2511383438015224,1.2488592550422402,1.2488603108459089,1.251137668985058,1.24885907499612,1.2511415310573462,1.2488559702879805
75,3.5041872515902988,0.01002337210292765,0.014545292011462152,28.094448207631203,9.936982166817273e-06,1.2488373643843127,1.2488373398341082,1.2488373962973058,1.2488382176823503,1.2488400875986079,1.2511604635003353,1.2488370190110356,1.2488381246288895,1.2511597575096347,1.2488368313353557,1.251163804195094,1.248833582249965
76,3.5042235020202406,0.010023527785499498,0.014578667003661394,28.097435038312284,9.931634888554937e-06,1.2488151574314037,1.2488151307036974,1.248815189872316,1.248816047815395,1.248818005381797,1.2511825687368603,1.2488147944226686,1.2488159511140318,1.2511818308441067,1.2488145989865915,1.2511860669263306,1.2488112020153377
77,3.504259734011923,0.010023683389151085,0.014538707968313247,28.100436275763794,9.926071618660238e-06,1.2487929629545549,1.248792933923999,1.2487929958713773,1.248793891176096,1.2487959386434266,1.2512046590466375,1.2487925817695051,1.2487937907825497,1.2512038885180257,1.2487923784347548,1.2512083188253602,1.2487888300723302
78,3.5042959467595756,0.010023838910503104,0.014464874984696507,28.10340291560867,9.9202926282791e-06,1.2487707814367575,1.2487707499767253,1.248770814777491,1.2487717482389864,1.2487738878649022,1.2512267339064629,1.2487703815427846,1.24877164411393,1.2512259300632838,1.248770170158633,1.2512305594288722,1.2487664669157528
79,3.5043321394825355,0.010023994346139388,0.014786416024435312,28.1064202156824,9.914298199071363e-06,1.2487486133632606,1.2487485793437845,1.248748647071181,1.2487496194907899,1.248751853531763,1.2512487928616958,1.2487481941914138,1.2487495115855056,1.2512479550057805,1.2487479746481436,1.2512527882635118,1.2487441130365742
80,3.504368311387973,0.010024149692645439,0.014752042014151812,28.10942513202489,9.908088623197049e-06,1.2487264592164948,1.2487264225057901,1.2487264932331152,1.2487275053923628,1.2487298361162056,1.2512708354684523,1.2487260202096753,1.2487273936781884,1.2512699628553967,1.2487257923834463,1.2512750048671382,1.2487217689232069
81,3.504404461686222,0.010024304946632,0.014519500022288412,28.11245808879303,9.901664203302126e-06,1.2487043194883145,1.2487042799427914,1.248704353745791,1.248705406430597,1.248707836101687,1.2512928612198426,1.2487038600758462,1.2487052908698566,1.2512919531447069,1.2487036238516844,1.2512972087502776,1.2486994350712883
82,3.5044405895888877,0.01002446010469613,0.01472537498921156,28.115470665803098,9.895025252503757e-06,1.2486821946564437,1.2486821521355784,1.2486822290910258,1.2486833230748895,1.2486858539665426,1.2513148696383718,1.2486817142702624,1.2486832036359634,1.251313925399714,1.2486814695282729,1.2513193994695029,1.248677111970853
83,3.504476694311662,0.010024615163535871,0.014650750032160431,28.118514354591056,9.888172094375035e-06,1.248660085202681,1.2486600395629532,1.248660119745046,1.248661255796232,1.248663890183298,1.2513368602691046,1.2486595832741052,1.2486611324530932,1.2513358791478555,1.248659329893937,1.2513415764590738,1.2486548001183635
84,3.504512775075252,0.010024770119693409,0.014630249992478639,28.12157749258812,9.881105062929221e-06,1.2486379916074268,1.2486379427025962,1.2486380261860286,1.248639205074092,1.2486419452306876,1.2513588326458325,1.2486374675419591,1.2486390777949479,1.251357813939731,1.2486372054302317,1.2513637393107282,1.248632499996783
85,3.504548831088471,0.010024924969764242,0.014764499966986477,28.124618405077122,9.87382450260346e-06,1.248615914356891,1.2486158620325305,1.2486159488926205,1.2486171713740357,1.2486200195801476,1.2513807863016104,1.2486153675699558,1.2486170401367127,1.2513797292956907,1.2486150966177838,1.2513858875603392,1.2486102120992904
86,3.5045848615642643,0.010025079710371988,0.014971167023759335,28.127688448025772,9.866330768241984e-06,1.248593853927133,1.2485937980312054,1.2485938883422214,1.2485951551714698,1.2485981137077462,1.2514027207503593,1.2485932838180294,1.2485950199514868,1.251401624755252,1.2485930039393893,1.2514080207564107,1.2485879369150454
87,3.5046208657236657,0.010025234338142558,0.014927790965884924,28.130778741798327,9.858624225078841e-06,1.2485718107974844,1.2485717511718675,1.2485718450082193,1.2485731569364578,1.2485762280845558,1.2514246355514436,1.2485712167523997,1.2485730177123615,1.2514234998509441,1.2485709278723849,1.2514301384199795,1.2485656749349814
88,3.5046568427835694,0.010025388849690032,0.014823917008470744,28.133844494568773,9.850705248720069e-06,1.2485497854459335,1.2485497219309472,1.2485498193692894,1.2485511771359268,1.2485543631827392,1.251446530212831,1.248549166855025,1.2485510338888774,1.2514453541362187,1.2485488688887887,1.25145224010941,1.2485434266421893
