iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
52,0.02270896239774768,0.007286829123163354,6.795071137137711,0.020932407828949257,0.0009999878275373446,1.3020455914726086,1.3018321908490782,1.3017098197453973,1.301619756239518,1.3015535544592045,1.3014973027709025,1.3014485676264111,1.3014624084456428,1.3017456800719214,1.3019767527806574,1.3008684020817438,1.3021034913827294,1.301986112645736,1.3021119092212396
53,0.023244235100154474,0.007264705925589267,6.167764707002789,0.02109691370377368,0.0009999513107426476,1.3042932549264707,1.3040560944948063,1.3039236400670822,1.3038270890708763,1.3037566829316547,1.3036969387933364,1.3036453855547614,1.3036645817796655,1.3039650115643966,1.304236036694443,1.303126295202299,1.3043683025280366,1.3042428948354767,1.3043772419557542
54,0.02437967187973107,0.007242598421070931,6.671770127024502,0.021738976647128698,0.0009998904513956854,1.3065433357896366,1.3062827100034053,1.3061406751839686,1.306038042249823,1.3059638368577144,1.3059009099788752,1.3058467945061922,1.3058706684596333,1.3061850651388727,1.3065008832589753,1.30541368796279,1.3066472873324249,1.306523148239092,1.3066563984794162
55,0.021276543702972987,0.007220667775057752,6.126997246872634,0.02020795108566294,0.000999805252462657,1.3087839534222614,1.3084996741127708,1.3083476528792637,1.3082381892843722,1.3081593628213504,1.308092485231104,1.3080349685368078,1.3080618382716296,1.308400851846433,1.3087551906720682,1.3077184682277743,1.3089228424228199,1.3087911259885168,1.308926355255677
56,0.023796277144674943,0.007198809145271202,5.9572298200801015,0.021821648968310018,0.0009996957180960385,1.3110317846222979,1.3107225366214885,1.3105597277194134,1.310443039648928,1.310359577787857,1.3102888160959523,1.3102280345489983,1.310257336417057,1.3106166986935783,1.3110108213606915,1.3100028996720232,1.3111966669551196,1.3110672806260613,1.3111985115843552
57,0.022162390242386903,0.007177024478886189,6.488213389180601,0.020714400164547127,0.0009995618536343797,1.3132735791084407,1.3129408977052728,1.3127669473344667,1.3126423352007723,1.3125536938196491,1.312478458514116,1.3124137278213384,1.312444167624924,1.312851194986392,1.3132816134225505,1.3123048732491036,1.313480010758972,1.3133536216816641,1.3134819363973502
58,0.022811880181558046,0.007155393785550691,6.686390890274197,0.020958311336938037,0.0009994036656020464,1.3155158292581839,1.3151568052540632,1.3149712975359535,1.3148386482539154,1.3147445806484588,1.3146647395628388,1.3145960110170696,1.314626796281379,1.315069995246221,1.315526956907044,1.3145708778802816,1.3157615938840117,1.3156481222757734,1.315770060417844
59,0.022442036455798592,0.007133862795476309,6.169567086268216,0.020711261868304257,0.0009992211617088995,1.3177537619109145,1.3173692933847834,1.3171724562833749,1.317031699201959,1.3169320278111252,1.316847400820677,1.3167744653302587,1.3168047970900134,1.3172811781685512,1.3177697322022794,1.3168705445523692,1.3180475441083142,1.3179334338280662,1.318060873671384
60,0.01993602524371366,0.007112595969869229,5.512987251859158,0.019983597956756888,0.0009990143508499217,1.3199869670263387,1.3195721087913366,1.319361234519501,1.3192102623395476,1.3191031056945455,1.319012069739119,1.318933350802658,1.3189612960421537,1.3194640984242232,1.3199855518354557,1.3191510935485828,1.320315253190805,1.3201914247539837,1.3203350429934115
61,0.02228261214423533,0.007091521700215117,5.5427867425605655,0.02090119576173021,0.0009987832431047822,1.3222234458542736,1.3217761462593922,1.321550411928838,1.3213887761136818,1.3212737307596252,1.3211759081589007,1.3210911957092049,1.3211160167869547,1.321635670231944,1.3221738347918273,1.3213614984314652,1.322560387819748,1.3224407471138828,1.32259457143991
