iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
44,0.8319802610262207,0.009296469149874177,0.10523779201321304,6.886921586751548,8.740000000000001e-06,1.8867562451405726,1.8867647068654851,1.886877277115723,1.886763508848918,1.886767405801141,1.8867572674915658,1.8879141641456558,1.88681986696145,1.8867856057451493,1.886844582831559,1.8879258170397661,1.8867561199183174,1.8867568464731235,1.8867550068447714,1.8867549250106737
45,0.8319874682666991,0.00929663137507653,0.10907069407403469,6.886459670371708,8.920000000000001e-06,1.886731640042079,1.886740360285911,1.8868563977296495,1.8867391274489584,1.8867431261976977,1.8867326990555227,1.8879387463549344,1.8867970995818901,1.886761832091323,1.8868212299046108,1.887949999772047,1.8867313766287235,1.8867322570426375,1.8867303489729175,1.8867302643055082
46,0.8319948281626419,0.009296796945047089,0.10308745293878019,6.88598238209887,9.100000000000001e-06,1.8867065414308477,1.886715520787515,1.8868350378582983,1.8867142530091066,1.8867183528399405,1.8867076373300844,1.8879638297301904,1.8867738417134736,1.8867375653163458,1.8867973744972966,1.887974675995086,1.886706138585127,1.886707173512954,1.886705197153746,1.8867051098197767
47,0.8320023407405326,0.009296965860028926,0.10955879581160843,6.8855028258609,9.280000000000001e-06,1.88668094939304,1.8866901884210023,1.8868131967529402,1.886688885578203,1.8866930857051813,1.8866820824011712,1.887989414175269,1.886750093115494,1.886712805333556,1.8867730170911794,1.8879998457236975,1.886680405953309,1.8866815959281646,1.8866795514779136,1.8866794616588138
48,0.8320100060239052,0.009297138120211202,0.10863276082091033,6.885018739275314,9.460000000000001e-06,1.88665486401867,1.886664363234134,1.8867908737517443,1.8866630252084533,1.8866673247987524,1.8866560343576462,1.8880154995544929,1.8867258535686857,1.8866875520820863,1.8867481581354253,1.8880255089501938,1.8866541788999653,1.8866555243495977,1.886653412038562,1.886653319923608
49,0.8320178240326865,0.009297313725763515,0.11140573094598949,6.884511498284428,9.640000000000001e-06,1.8866282853998677,1.8866380452894105,1.8867680682073382,1.8866366719659624,1.886641070107123,1.8866294932935084,1.8880420857956524,1.886701122864525,1.886661805482668,1.8867227980506718,1.8880516657005553,1.8866274575692912,1.8866289588074243,1.886626778922925,1.8866266847180349
50,0.8320257947846746,0.009297492676868878,0.1089958471711725,6.884002270064795,9.820000000000001e-06,1.8866012136333714,1.8866112346488102,1.8867447794762515,1.8866098258788286,1.8866143216326208,1.886602459298718,1.888069172838006,1.8866759008192038,1.8866355654829732,1.8866969372077338,1.888078315964098,1.8866002420955243,1.8866018993726963,1.8865996522205482,1.8865995561382531
51,0.832033918298307,0.00929767497362139,0.10768983908928931,6.883486763728141,1e-05,1.8865736488093992,1.8865839313764654,1.8867210069897995,1.8865824870195407,1.8865870793800887,1.886574932462179,1.8880967606730432,1.886650187267106,1.886608832031804,1.8866705759774671,1.8881054597341136,1.8865725326104723,1.8865743460870184,1.8865720320128991,1.8865719342800609
52,0.8320421945858223,0.009297857331608704,0.10627137497067451,6.882958536725548,9.999890338174275e-06,1.8865460874192221,1.8865566273055416,1.8866971793994698,1.88655514788444,1.8865598340589065,1.8865474086083551,1.8881243523550817,1.8866244456968337,1.8865820867875858,1.8866441899036912,1.888132608033308,1.886544828234714,1.8865467952097714,1.8865444157752385,1.8865443166601974
53,0.8320504745260826,0.009298039744638626,0.10533578018657863,6.882426480045662,9.999561358041869e-06,1.886518530040593,1.8865293231432683,1.8866732986528738,1.8865278091665525,1.8865325864016445,1.8865198883310272,1.8881519471065664,1.8865986775354413,1.8865553307349334,1.8866177807038949,1.8881597600819324,1.886517129531926,1.8865192473260697,1.886516804072181,1.8865167038338762
54,0.8320587578150004,0.009298222206682201,0.10845546680502594,6.881893609169131,9.999013075636806e-06,1.88649097724229,1.886502019585304,1.886649366670726,1.886500471516548,1.8865053371096268,1.8864923722220885,1.8881795441901053,1.886572884157732,1.8865285648286565,1.886591350058402,1.8881869150940322,1.8864894370477954,1.8864917030066397,1.8864891974419458,1.8864890963528373
55,0.8320670441561022,0.009298404711772628,0.10563583415932953,6.881370723734143,9.998245517681596e-06,1.8864634295980256,1.8864747173162086,1.886625385319538,1.8864731356059194,1.8864780868982802,1.8864648608644734,1.8882071428745282,1.8865470669304825,1.886501790016824,1.8865648995313589,1.8882140723123375,1.8864617513281565,1.886464162831799,1.8864615964367824,1.8864614947718106
56,0.8320753332566122,0.009298587254049731,0.10763679211959243,6.880836158638206,9.997258721585931e-06,1.886435887668281,1.8864474170143881,1.8866013564589978,1.886445802129817,1.8864508364664958,1.8864373548474984,1.8882347424423462,1.886521227180403,1.8864750072048828,1.8865384306377382,1.8882412309852283,1.8864340729163152,1.8864366273462714,1.8864340015980963,1.8864338996413328
57,0.8320836248279914,0.009298769827745454,0.10175401112064719,6.8803081315410175,9.996052735444863e-06,1.8864083520428145,1.8864201193400576,1.886577281858238,1.8864184717350219,1.88642358652937,1.8864098547526131,1.8882623421708098,1.886495366209984,1.886448217318988,1.8865119448334375,1.8882683903511157,1.8864064023596276,1.8864090971235357,1.8864064134801708,1.886406311508775
58,0.8320919185878425,0.009298952427130759,0.10848804214037955,6.879772561602011,9.994627618036455e-06,1.886380823273959,1.886392824975546,1.8865531633033388,1.8863911450941444,1.8863963377663842,1.8863823611672912,1.8882899413805592,1.8864694852919843,1.8864214212621673,1.8864854435297127,1.8882955496810918,1.8863787401848455,1.8863815727219464,1.8863788326320088,1.886378730924857
59,0.8321002142549052,0.009299135046573152,0.12418296583928168,6.879242817912712,9.992983438818916e-06,1.8863533019359477,1.8863655345908186,1.886529002502491,1.8863638228411463,1.8863690908805322,1.886354874672182,1.8883175393835827,1.8864435856826234,1.8863946199330186,1.8864589280697477,1.8883227082209177,1.8863510869293962,1.8863540547436595,1.8863512596027532,1.8863511584364814
60,0.8321085115538929,0.00929931768051045,0.10987986484542489,6.878719833554561,9.991120277927224e-06,1.886325788596556,1.8863382488519924,1.886504801152114,1.8863365056288655,1.8863418465552337,1.8863273958435312,1.8883451355201541,1.8864176686028424,1.8863678142058624,1.8864323997672365,1.8883498652561337,1.8863234431228058,1.8863265437344714,1.8863236949391389,1.8863235945873307
