iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
46,0.03451914917805435,0.008284197464359568,0.002649292000569403,0.022734338282371574,0.0009001,1.2964403624532717,1.296240549415896,1.2961760193823082,1.2961389332082658,1.2961138071573197,1.2960957120116572,1.2960822962111722,1.296072215188019,1.2960646191276173,1.2960589294280613,1.2960547175074382,1.296051600581075,1.2960489017724366
47,0.029519975462501565,0.008261528237297162,0.002679208992049098,0.02053825939334362,0.0009200800000000001,1.2985020650909926,1.2982815694866494,1.298211335310508,1.298171258319387,1.2981442179950957,1.2981247776906364,1.2981103598967783,1.298099500340828,1.2980912786984218,1.2980850714782664,1.298080419251677,1.29807691465774,1.2980738454808431
48,0.03194476643466469,0.00823851044281373,0.002795542008243501,0.021431807973717024,0.0009400599999999999,1.3006059099607137,1.3003647464152064,1.3002881838805553,1.3002443738599874,1.3002147334787049,1.3001933503117036,1.300177415989151,1.3001653346039457,1.3001561040513836,1.300149046817505,1.3001436654943055,1.300139522540873,1.3001358656363984
49,0.0329328414583842,0.008215065641360295,0.00270995800383389,0.021923654018708397,0.00096004,1.3027556779489076,1.3024940236203253,1.3024114412903773,1.3023641196889635,1.3023320679087416,1.3023089085820978,1.3022916033246539,1.3022784247068437,1.3022682895124187,1.3022604672609739,1.3022544237459892,1.302249692355528,1.3022454812839679
50,0.030931532546082625,0.00819133984898571,0.002779416972771287,0.020996057048691192,0.00098002,1.3049453213556241,1.3046623399636674,1.3045725155623646,1.3045204334247753,1.3044848292225597,1.3044588766032765,1.3044392960675444,1.3044242126006986,1.3044124468826728,1.3044032028821317,1.3043958993615676,1.3043900323353386,1.3043847634799988
51,0.034044225373557106,0.008167098519639997,0.0028569999849423766,0.022815208002555803,0.001,1.307189536507669,1.3068846279563444,1.306788025214774,1.3067318049404333,1.3066932096234454,1.3066649288618435,1.3066434434795626,1.3066267404423175,1.306613554940685,1.306603035137085,1.3065945611886012,1.3065875988043556,1.306581268598628
52,0.032336116276334106,0.008142982015516945,0.0027244589873589575,0.021984571783504537,0.0009999878275373446,1.3094379114065924,1.309108942817496,1.3090038482322803,1.3089422563001618,1.3088997429253122,1.3088684187296034,1.308844463459554,1.3088256844007378,1.3088107025078024,1.3087985900007872,1.3087886740715486,1.3087803796739281,1.30877277858573
53,0.03248519980931821,0.008118948156975026,0.002726833976339549,0.021777259749327805,0.0009999513107426476,1.3116864972421955,1.3113344759302132,1.311221067952392,1.3111541752324174,1.3111078307139985,1.3110735778825577,1.3110472867881426,1.311026575682628,1.3110099442921361,1.3109963840364913,1.310985165776061,1.3109756713145042,1.3109669217756328
54,0.03298857720365961,0.008095007035221,0.00268008402781561,0.021604561687533348,0.0009998904513956854,1.3139344198152445,1.3135590047803267,1.3134377725275286,1.3133659734816683,1.3133161380564475,1.3132792770742645,1.3132509634986622,1.3132286299236373,1.3132106551818916,1.313195949532952,1.3131837272044067,1.3131733267730652,1.3131637187909257
55,0.03133713952532288,0.00807120521276768,0.002679833967704326,0.021398167361795787,0.000999805252462657,1.316179961429238,1.3157825208304967,1.3156531665712434,1.31557593687926,1.3155220672507093,1.3154820598235695,1.3154511909889903,1.3154267053242208,1.3154068585443421,1.3153904780445025,1.3153767201917976,1.3153648794803758,1.315353875313978
56,0.032498909969908917,0.008047506703133128,0.0026430829893797636,0.02182739536218003,0.0009996957180960385,1.3184297304415957,1.3180058368339427,1.3178673639630039,1.3177844451976581,1.317726562953606,1.3176835513380498,1.3176503217777684,1.3176238983698054,1.3176023973421844,1.3175845546634606,1.317569464302659,1.3175563743093341,1.3175441517632624
57,0.03152354648200314,0.008023955813946722,0.0028839170117862523,0.021197074198265373,0.0009995618536343797,1.3206760481007087,1.3202264766368939,1.320078456223661,1.3199894525659936,1.3199271837337276,1.3198808076438444,1.3198448712841075,1.3198161799157373,1.3197927115414476,1.3197731115041051,1.3197564118182612,1.3197418142596173,1.319728133540491
58,0.03339798109270161,0.008000443615304973,0.0027057909755967557,0.02194248694122279,0.0009994036656020464,1.3229250851747754,1.3224513903495205,1.3222942965564388,1.3221995249420544,1.3221331533548475,1.3220836800302067,1.3220452907151123,1.3220145736279696,1.3219893701692527,1.3219682365103547,1.3219501439591443,1.3219342490579467,1.3219193149355115
59,0.03309127434520472,0.007976991858352597,0.0027169579989276826,0.021925975372411692,0.0009992211617088995,1.3251777714596902,1.3246788706278432,1.3245128333343201,1.3244124977806093,1.3243422460894674,1.3242898959415135,1.3242492621501452,1.3242167127962234,1.324189952845688,1.3241674508095103,1.3241481191927944,1.324131071170538,1.3241150198903884
60,0.031512076549692805,0.007953673644055236,0.002711874956730753,0.021592571154699796,0.0009990143508499217,1.3274312163777093,1.326907142459381,1.3267312373704163,1.3266243075849484,1.3265492105012378,1.3264931103021607,1.326449442979762,1.326414341847901,1.3263853615502,1.3263608713831248,1.3263397158001982,1.3263209572719232,1.3263032531415562
61,0.03022890906650846,0.007930602009721774,0.0026965420111082494,0.020334881905337013,0.0009987832431047822,1.3296750474479873,1.3291248437588816,1.3289379225943792,1.3288234831172203,1.3287427368174196,1.3286821631944299,1.3286348102634655,1.3285965721945254,1.3285648497614544,1.3285379094569263,1.3285145239509144,1.3284937012281035,1.3284740391729375
62,0.03265330482821139,0.00790757624053673,0.002652082999702543,0.022092425895131034,0.0009985278497373468,1.3319253940712126,1.3313487201407974,1.3311501474436895,1.331027797538397,1.3309411296232525,1.330875876277176,1.330824666264788,1.33078313829718,1.3307485304312567,1.3307190013923906,1.330693249184963,1.3306702255593315,1.3306484677631263
63,0.03010299059094526,0.007884801528275689,0.00284008402377367,0.020157894736472573,0.0009982481831951274,1.3341654432197154,1.3335613730059308,1.3333495906182802,1.3332181690715912,1.3331247208611987,1.3330541411463632,1.332998581371191,1.3329533864457404,1.3329156052896858,1.332883270103585,1.3328549906213416,1.3328296523293348,1.332805724405123
64,0.032845768420890285,0.007862059439982184,0.002724834019318223,0.02202630022097607,0.0009979442571086772,1.336412205044369,1.3357804663559454,1.3355554017005384,1.3354147294093224,1.3353143430464063,1.3352383103140477,1.3351782947641935,1.3351293375140714,1.3350882916180993,1.3350530586403135,1.3350221576626662,1.3349944066083124,1.3349682058902974
65,0.03258062190400588,0.007839397698426788,0.0026157500105910003,0.02183656352933195,0.0009976160862909245,1.338665240192477,1.3380022178062105,1.3377626573871026,1.3376121889037196,1.3375045852618688,1.3374229562678153,1.3373584218001782,1.3373056901159137,1.337261401292822,1.3372233154519024,1.337189853907451,1.3371597622040348,1.3371313686308925
66,0.031064435765235345,0.007816883606556819,0.0028794999816454947,0.021089022550825256,0.0009972636867364526,1.3409163523007843,1.3402211063837595,1.33996666179256,1.3398058581193941,1.3396904546295851,1.3396026524471727,1.3395330461527057,1.339476016445363,1.3394279905131472,1.3393865851427733,1.339350121328264,1.3393172695600128,1.3392862834379806
67,0.03224416071942709,0.0077944177959649846,0.002653250005096197,0.02159304323853825,0.000996887075620718,1.343169445865268,1.3424416187585733,1.3421734786281332,1.3420031613802557,1.3418805367720983,1.3417869829903069,1.3417126165440443,1.3416515191187104,1.3415999236191385,1.3415553162105422,1.3415159265189018,1.3414803564137536,1.3414467894325204
68,0.03165603021176612,0.007772075644147942,0.002776084002107382,0.020917056920350577,0.0009964862712992153,1.3454183773554933,1.3446586470253161,1.3443769084610016,1.3441970769073448,1.3440672804155893,1.3439680705741865,1.3438890670471708,1.343824038714132,1.3437690159431357,1.3437213497329097,1.343679176023866,1.343641027039551,1.3436050159494768
69,0.0317781651025045,0.007749855392861698,0.0027207500534132123,0.021090532437464605,0.0009960612933065818,1.3476659932723027,1.3468738495366974,1.3465781361785087,1.346388489585542,1.3462512534878794,1.3461461482528565,1.346062294728943,1.3459931465679762,1.3459345292938378,1.3458836568777008,1.345838570177978,1.3457977307529438,1.3457591806601814
70,0.0320139611968902,0.0077277420611176284,0.0027167079970240593,0.021061229055864876,0.000995612162355645,1.3499120852934825,1.3490873738184368,1.3487774395086525,1.3485778706287017,1.3484331833131584,1.348322234872808,1.3482336293805706,1.3481604944244503,1.348098443610835,1.3480445489858421,1.3479967527833008,1.3479534432373383,1.347912589199769
71,0.03340419537682874,0.007705644871590557,0.0026211250224150717,0.02189471236375519,0.0009951389003364144,1.3521642993800027,1.3513069168464886,1.3509826744987354,1.350773389005213,1.3506215803290735,1.3505051633349678,1.350412191230199,1.3503354514932964,1.3502703406422158,1.350213787577502,1.3501636364077694,1.3501182032205332,1.350075384944725
72,0.030074794581037595,0.007683785346364941,0.002676916017662734,0.02003948900173614,0.0009946415303150127,1.3544068867219665,1.35351442992556,1.3531744877764278,1.3529546324275072,1.3527951362889454,1.352672846423111,1.3525752016900068,1.352494615680572,1.3524262485507457,1.3523668742559405,1.3523142311046352,1.3522665578075734,1.352221675745881
73,0.031130473887726485,0.007662100426330714,0.0027221249765716493,0.020456732378543507,0.0009941200765325531,1.3566451289601362,1.355714332788592,1.3553577943830086,1.3551268768463838,1.354959403976825,1.3548310858695987,1.3547287100482126,1.354644293059853,1.354572743115552,1.354510668215025,1.3544556927693345,1.354405971952914,1.354359246795437
74,0.029063492625783827,0.007640702715985217,0.0027250410057604313,0.019752389265936005,0.0009935745644039575,1.35887406148183,1.3579019527625564,1.357526217356581,1.3572820890442954,1.3571048699617556,1.3569690312865754,1.3568606369893916,1.35677125808167,1.356695517684485,1.3566298344933971,1.3565717020811516,1.3565191794862728,1.3564699179523652
75,0.028873355385213007,0.007619547637037478,0.002676250005606562,0.019878751711029256,0.0009930050205167172,1.3610957068350509,1.3600797355912666,1.3596831427765894,1.3594242112448502,1.3592358097293153,1.3590911778283719,1.3589756375540056,1.358880292067881,1.3587994590905317,1.3587293508547518,1.358667315928481,1.3586113055941502,1.3585588718734232
76,0.03388845098822829,0.007598300914706968,0.0027188750100322068,0.02219153985437961,0.000992411472629598,1.3633302739255786,1.3622692079827747,1.3618529974151083,1.3615807527360189,1.3613826087419252,1.361230503315224,1.3611090060061322,1.361008758692741,1.3609237848019653,1.3608501017235268,1.3607849238234049,1.3607261042053713,1.360671103795125
